#Dirchilet BC  (from /Users/houben/PhD/transect/transect/ogs/dipped/horizontal/thickness_55/transect_55_hor_RICHARDS_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  276
#Node index, name, x, y, z,   value: 
200  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.059555680435e+01 1.000000000000e+01
201  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.067661168431e+01 1.000000000000e+01
202  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.075685601533e+01 1.000000000000e+01
203  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.083629790336e+01 1.000000000000e+01
204  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.091494537457e+01 1.000000000000e+01
205  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.099280636884e+01 1.000000000000e+01
206  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.106988874950e+01 1.000000000000e+01
207  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.114620030911e+01 1.000000000000e+01
208  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.122174875440e+01 1.000000000000e+01
209  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.129654171632e+01 1.000000000000e+01
210  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.137058674720e+01 1.000000000000e+01
211  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.144389132669e+01 1.000000000000e+01
212  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.151646286296e+01 1.000000000000e+01
213  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.158830868202e+01 1.000000000000e+01
214  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.165943604158e+01 1.000000000000e+01
215  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.172985212829e+01 1.000000000000e+01
216  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.179956405512e+01 1.000000000000e+01
217  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.186857886278e+01 1.000000000000e+01
218  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.193690352121e+01 1.000000000000e+01
219  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.200454493503e+01 1.000000000000e+01
220  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.207150993669e+01 1.000000000000e+01
221  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.213780528793e+01 1.000000000000e+01
222  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.220343768520e+01 1.000000000000e+01
223  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.226841375694e+01 1.000000000000e+01
224  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.233274006904e+01 1.000000000000e+01
225  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.239642311780e+01 1.000000000000e+01
226  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.245946933558e+01 1.000000000000e+01
227  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.252188509188e+01 1.000000000000e+01
228  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.258367669068e+01 1.000000000000e+01
229  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.264485037160e+01 1.000000000000e+01
230  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.270541231541e+01 1.000000000000e+01
231  PRESSURE1 1.000000000000e+03 0.000000000000e+00 5.276536864094e+01 1.000000000000e+01
