#Dirchilet BC  (from /Users/houben/phd/python/scripts/ogs5py/setup/1015_reali_14_stor_0.01_rech_whitenoise/transect_GROUNDWATER_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  31
#Node index, name, x, y, z,   value: 
30242  HEAD 2.120000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30243  HEAD 2.130000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30244  HEAD 2.140000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30245  HEAD 2.150000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30246  HEAD 2.160000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30247  HEAD 2.170000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30248  HEAD 2.180000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30249  HEAD 2.190000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30250  HEAD 2.200000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30251  HEAD 2.210000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30252  HEAD 2.220000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30253  HEAD 2.230000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30254  HEAD 2.240000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30255  HEAD 2.250000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30256  HEAD 2.260000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30257  HEAD 2.270000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30258  HEAD 2.280000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30259  HEAD 2.290000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30260  HEAD 2.300000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30261  HEAD 2.310000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30262  HEAD 2.320000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30263  HEAD 2.330000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30264  HEAD 2.340000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30265  HEAD 2.350000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30266  HEAD 2.360000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30267  HEAD 2.370000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30268  HEAD 2.380000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30269  HEAD 2.390000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30270  HEAD 2.400000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30271  HEAD 2.410000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30272  HEAD 2.420000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30273  HEAD 2.430000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30274  HEAD 2.440000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30275  HEAD 2.450000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
30276  HEAD 2.460000000000e+02 0.000000000000e+00 3.000000000000e+01 5.769610316083e-09
